match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10
1175367,2019,2019-03-31,ma chidambaram stadium,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,175,167.0,342.0,0,1,0,0,1,0,1,0,1,140.2,4.4,35.0,35.6,137.4,163.6,6.0,52.6,43.8,166.6,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555
1175369,2019,2019-04-02,sawai mansingh stadium,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,158,164.0,322.0,0,1,0,0,1,0,1,0,1,143.2,8.2,44.4,36.0,171.4,168.6,5.6,48.0,50.2,172.6,157.25,49.5,39.857142857142854,5.571428571428571,159.7,48.6,43.3,6.6
1175370,2019,2019-04-03,wankhede stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,170,133.0,303.0,0,1,0,0,1,0,1,0,1,177.6,8.4,55.4,42.2,185.6,143.4,4.4,34.2,39.4,140.2,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,173.5,46.7,48.5,6.0
1175372,2019,2019-04-05,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,205,206.0,411.0,0,1,0,0,1,0,1,0,1,131.2,7.8,45.2,32.4,163.4,180.6,5.8,55.8,55.6,172.2,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,187.3,49.3,56.7,5.8
1178393,2019,2019-04-06,ma chidambaram stadium,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Kings XI Punjab,160,138.0,298.0,0,1,0,1,0,0,1,1,0,142.0,4.4,34.4,37.6,146.4,174.0,5.8,40.8,48.2,175.0,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555
1178394,2019,2019-04-06,rajiv gandhi international stadium,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,136,96.0,232.0,0,1,0,0,1,0,1,0,1,174.4,7.8,51.4,50.6,175.6,184.4,4.2,57.2,46.0,160.8,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,170.2,53.3,44.5,5.7
1178396,2019,2019-04-07,sawai mansingh stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,139,140.0,279.0,0,1,0,0,1,0,1,0,1,168.6,5.2,50.0,48.6,177.4,187.2,5.8,54.4,61.8,178.8,157.25,49.5,39.857142857142854,5.571428571428571,162.8,50.7,45.8,6.0
1178397,2019,2019-04-08,pca stadium,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,150,151.0,301.0,0,1,0,0,1,0,1,0,1,168.0,5.0,56.6,38.0,151.8,171.0,4.8,44.2,44.6,175.2,173.8,51.6,44.8,5.2,176.5,53.8,44.5,5.9
1178398,2019,2019-04-09,ma chidambaram stadium,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,108,111.0,219.0,0,1,0,0,1,0,1,0,1,181.4,4.8,58.2,50.8,177.8,137.8,4.6,38.2,41.0,138.4,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555
1178399,2019,2019-04-10,wankhede stadium,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,197,198.0,395.0,0,1,0,0,1,0,1,0,1,164.4,4.8,45.4,40.8,171.2,169.0,7.2,46.0,54.6,160.0,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,169.9,43.9,51.7,6.4
